"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"ACTINOPTERYGII","82","11","93","140","8","241","739","1,210","1,410","3,359","0","765","16,556","4,902","25,675"
"AMPHIBIA","37","2","39","184","1","224","795","1,265","816","2,876","0","431","3,763","911","8,020"
"ANTHOZOA","0","0","0","2","0","2","26","27","203","256","0","180","280","135","851"
"ARACHNIDA","9","0","9","21","0","30","76","116","76","268","0","25","222","67","591"
"ASTEROIDEA","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"AVES","159","5","164","22","0","186","232","405","717","1,354","0","940","8,699","40","11,197"
"BIVALVIA","32","0","32","15","0","47","84","71","61","216","4","57","340","169","818"
"BRANCHIOPODA","0","0","0","0","0","0","8","13","22","43","1","1","1","1","47"
"CALCAREA","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2"
"CEPHALOPODA","0","0","0","0","0","0","1","2","2","5","0","2","324","419","750"
"CHILOPODA","0","0","0","2","0","2","3","6","1","10","0","0","1","0","11"
"CHONDRICHTHYES","1","0","1","2","0","3","91","123","184","398","0","127","543","172","1,241"
"CLITELLATA","2","0","2","4","0","6","7","16","12","35","0","20","108","192","357"
"COLLEMBOLA","0","0","0","2","0","2","3","4","2","9","0","10","6","3","28"
"DEMOSPONGIAE","0","0","0","0","0","0","0","0","0","0","0","0","1","21","22"
"DIPLOPODA","3","0","3","4","0","7","37","32","17","86","0","66","52","43","250"
"ECHINOIDEA","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"GASTROPODA","265","16","281","137","1","419","643","548","995","2,186","0","682","2,692","1,647","7,488"
"HEXANAUPLIA","1","0","1","0","0","1","1","0","24","25","8","0","0","4","38"
"HOLOTHUROIDEA","0","0","0","0","0","0","0","7","9","16","0","0","111","244","371"
"HYDROZOA","0","0","0","1","0","1","5","0","4","9","0","0","5","1","15"
"INSECTA","60","1","61","93","0","154","429","978","954","2,361","3","735","6,155","3,253","12,568"
"MALACOSTRACA","7","1","8","18","1","27","141","162","311","614","0","76","1,206","1,131","3,035"
"MAMMALIA","85","1","86","29","0","115","235","550","554","1,339","0","378","3,340","837","5,980"
"MAXILLOPODA","1","0","1","0","0","1","6","0","47","53","0","0","0","19","73"
"MEROSTOMATA","0","0","0","0","0","0","0","1","1","2","0","0","0","2","4"
"MONOPLACOPHORA","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"MYXINI","0","0","0","0","0","0","1","2","6","9","0","2","36","33","80"
"NEMERTEA","1","0","1","1","0","2","1","1","1","3","0","0","1","1","6"
"OSTRACODA","2","0","2","0","0","2","2","0","9","11","0","0","0","1","14"
"PETROMYZONTI","0","0","0","1","0","1","2","4","3","9","0","3","24","2","38"
"POLYCHAETA","0","0","0","0","0","0","1","0","0","1","0","0","0","1","2"
"POLYPLACOPHORA","0","0","0","0","0","0","0","1","0","1","0","1","0","0","2"
"REPTILIA","32","2","34","48","0","82","434","789","625","1,848","2","566","6,312","1,492","10,254"
"SARCOPTERYGII","0","0","0","0","0","0","1","1","1","3","0","0","5","0","8"
"SOLENOGASTRES","0","0","0","0","0","0","0","0","1","1","0","2","1","0","4"
"TURBELLARIA","1","0","1","0","0","1","0","0","0","0","0","0","0","1","2"
"UDEONYCHOPHORA","0","0","0","0","0","0","3","2","4","9","0","1","0","1","11"
"PHAEOPHYCEAE","0","0","0","4","0","4","4","1","1","6","0","0","0","12","18"
"AGARICOMYCETES","0","0","0","2","0","2","16","69","134","219","0","58","185","135","597"
